CriterionName	Description
Проверка RSA	Критерий срабатывает в том случае, когда проверка в RSA возвращает один из статусов, выбранных в параметрах критерия
Присутствие IP-адреса в черном списке	Критерий срабатывает, если IP-адрес(а) отправителя платежа присутствует(ют) в справочнике "Черный список IP-адресов"
Присутствие MAC-адресa в черном списке	Критерий срабатывает, если MAC-адрес отправителя присутствует в справочнике "Черный список МАС-адресов"
Появление платежа в пользу нового получателя для данного счета отправителя	Критерий срабатывает при осуществлении платежа в пользу нового/нехарактерного получателя. Если за анализируемый период количество платежей в пользу новых получателей превышает максимально допустимое, то считается, что определить характерность поведения невозможно, и критерий не срабатывает. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество платежей, найденных за анализируемый период, меньше минимально необходимого.
Присутствие банка получателя в черном списке	Критерий срабатывает, если банк получателя платежа присутствует в справочнике "Черный список банков получателя"
Подозрительные фразы в назначении платежа	Критерий срабатывает, если в назначении платежа присутствуют фразы, находящиеся в справочнике характерных для мошеннических действий фраз ("Справочник подозрительных фраз в назначении платежа")
Нарушение сквозной нумерации платежей организации	Критерий срабатывает, если максимальная разница между номером текущего платежа и ближайшим к нему номером платежа за последние 2 дня превышает максимально допустимое отклонение. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество платежей за анализируемый период меньше минимально необходимого.
Смена IP-адресов	Критерий срабатывает, если за анализируемый период времени с данного IP-адреса платежей не отправлялось. При частой смене IP-адресов отправки (превышение максимально допустимого количества значений) можно говорить о нехарактерности поведения клиента и критерий перестает срабатывать. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество фактов смены IP-адреса, найденных за анализируемый период, меньше минимально необходимого.
Смена диапазона IP-адресов	Критерий срабатывает, если IP-адрес платежа не попадает в диапазон IP-адресов платежей за анализируемый период времени. При частой смене диапазона IP-адресов (превышение максимально допустимого количества значений) можно говорить о нехарактерности поведения клиента и критерий перестает срабатывать. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество фактов смены диапазона IP-адресов, найденных за анализируемый период, меньше минимально необходимого.
Смена оборудования	Критерий срабатывает, если за анализируемый период времени с данного MAC-адреса платежи не отправлялись. При частой смене MAC-адресов (превышение максимально допустимого количества значений) можно говорить о нехарактерности поведения клиента и критерий перестает срабатывать. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество фактов смены MAC-адреса, найденных за анализируемый период, меньше минимально необходимого.
Появление платежа на карточный счет/счет физического лица	Критерий срабатывает при первом появлении платежа с данного счета плательщика на любой карточный счет/счет физического лица за анализируемый период.
Появление платежа на сводный счет/счет заработной платы	Критерий срабатывает при первом появлении платежа с данного счета плательщика на любой сводный счет/счет заработной платы за анализируемый период.
Смена пароля	Критерий срабатывает, если за анализируемый период  клиент не менял пароль, а в день отправки платежа такая смена произошла, или же в том случае, если за анализируемый период смены пароля были, но платежи, отправленные в день смены пароля, были признаны мошенническими.
Появление платежа на счет получателя с суммой выше предельной	Критерий срабатывает при поступлении платежа с суммой, превышающей максимальную сумму за анализируемый период времени с учетом допустимого отклонения. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество платежей, найденных за анализируемый период, меньше минимально необходимого.
Появление ошибочных платежей	Критерий срабатывает, если за анализируемый период времени ошибочных платежей либо не было вообще, либо последний платеж, по которому данный критерий сработал, по результатам проверки оператором был признан мошенническим.
Снижение предельного остатка на счете	Критерий срабатывает при снижении остатка на счете до величины значительно меньшей предельной величины остатка за анализируемый период времени с учетом максимально допустимого отклонения. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество  платежей, необходимых для определения предельной величины остатка на счете, найденных за анализируемый период, меньше минимально необходимого.
Появление запросов выписки	Критерий срабатывает, если за анализируемый период времени фактов появления ручного запроса выписки либо не было вообще, либо последний платеж, по которому данный критерий сработал, по результатам проверки оператором был признан мошенническим.
Смена типового времени получения платежа	Критерий срабатывает при смене характерного для данного клиента времени получения платежа. Если время получения платежа меняется слишком часто (превышение максимально допустимого количества значений) можно говорить о нехарактерности поведения клиента и критерий перестает срабатывать. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество  платежей, необходимых для определения типового времени получения платежа, найденных за анализируемый период, меньше минимально необходимого.
Подверженность клиента мошенническим атакам	Критерий срабатывает, если за анализируемый период времени клиент подвергался мошенническим атакам в количестве, превышающем максимально допустимое.
Несколько неудачных попыток ввода пароля при входе в систему	Критерий срабатывает при превышении максимально допустимого количества неудачных попыток ввода пароля при входе в систему с учетом максимально допустимого отклонения. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество  неудачных попыток ввода пароля, найденных за анализируемый период, меньше минимально необходимого.
Превышение суточной суммы платежей за период	Критерий срабатывает при превышении суточной суммы платежей за анализируемый период времени с учетом максимально допустимого отклонения. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество  платежей, найденных за анализируемый период, меньше минимально необходимого.
Превышение суточного количества платежей за период	Критерий срабатывает при превышении суточного количества платежей за анализируемый период времени с учетом максимально допустимого отклонения. Выполнение проверки по критерию невозможно из-за недостаточности данных, если количество  платежей, найденных за анализируемый период, меньше минимально необходимого.
Подозрительные ФИО получателя	Критерий срабатывает, если ФИО получателя присутствует в справочнике "Cправочник подозрительных ФИО получателей".
Появление платежа на счет получателя с суммой выше средней	Критерий срабатывает при поступлении платежа с суммой, превышающей среднюю сумму за анализируемый период времени с учетом допустимого отклонения.
Отправка срочного платежа	Критерий срабатывает, если платеж является срочным
Появление платежа на депозитный счет физического лица	Критерий срабатывает при первом появлении платежа с данного счета плательщика на любой депозитный счет физического лица за анализируемый период.
Слишком малое время между формированием платежа и его отправкой	Критерий срабатывает, если время между формированием платежа и его отправкой меньше минимально допустимого значения, указываемого в настройках критерия.
Отправка платежа с незащищенного рабочего места	Критерий срабатывает, если хотя бы один из включенных в настройках критерия параметров вернет значение FALSE.
Отправка платежа клиентом с низким уровнем защиты	Критерий срабатывает, если из ДБО приходит флаг использования SafeTouch, равный FALSE.
Появление платежа с уже имеющимся номером	Критерий срабатывает, если поступает платеж, номер которого уже встречался в ранее отправленном платеже за анализируемый период.
Отправка платежа из другой страны	Критерий срабатывает, если страна, из которой отправлен платеж, не совпадает с указанной в настройках
Быстрая смена региона отправки платежа	Критерий срабатывает, если регион, из которого отправлен проверяемый платеж не совпадает с регионом, из которого отправлен предыдущий платеж, и при этом время между этими платежами меньше указанного в настройках
Присутствие ФИО получателя в базе утерянных паспортов	Критерий срабатывает, если количество найденных записей с ФИО получателя больше 0 и не превышает максимально допустимого значения, указываемого в настройках. Во всех остальных случаях критерий не срабатывает.
Присутствие ФИО руководителя компании в базе утерянных паспортов	Критерий срабатывает, если ФИО  руководителя присутствует в базе утерянных паспортов. Во всех остальных случаях критерий не срабатывает.
Превышение допустимого количества решений арбитражного суда	Критерий срабатывает, если для компании получателя платежа количество найденных судебных решений превышает допустимое значение. Во всех остальных случаях критерий не срабатывает.
Превышение допустимого количества компаний, зарегистрированных по указанному адресу	Критерий срабатывает при превышении допустимого количества компаний, которые могут быть зарегистрированы на  юридический адрес получателя. В противном случае критерий не срабатывает.
Учредитель компании получателя платежа является «массовым» учредителем	Критерий срабатывает, если количество компаний, учрежденных руководителем компании получателя, превышает максимально допустимое.
Частая смена руководителя компании получателя платежа	Критерий срабатывает, если смена руководителя компании получателя платежа происходит чаще, чем указано в настройках критерия.
Компания получатель платежа является новой	Критерий срабатывает, если возраст компании (в днях) меньше заданного в настройках. В противном случае критерий не срабатывает.
Компания получатель платежа является банкротом	Критерий срабатывает, если получателем платежа является компания-банкрот, в противном случае критерий не срабатывает.
Финансовое состояние компании получателя платежа является нестабильным	Критерий срабатывает, если показатели ликвидности, рентабельности, деловой активности  и финансовой устойчивости компании не соответствуют нормативным значениям. В противном случае критерий не срабатывает.
Присутствие получателя в общем черном списке	Критерий срабатывает, если получатель платежа (счет/номер карты+БИК+ИНН) присутствует в справочнике «Черный список получателей»;
Присутствие получателя в клиентском черном списке	Критерий срабатывает, если получатель платежа (счет/номер карты+БИК+ИНН) присутствует в справочнике «Справочник плательщиков» на вкладке «Черный  список получателей»;
Платеж на счет физического лица	Критерий срабатывает, если получателем платежа является физическое лицо;
Платеж на сводный счет	Критерий срабатывает, если в поле счета получателя указан сводный счет Банка;
Платеж в другой Банк	Критерий срабатывает, если БИК банка-получателя не совпадает ни с одним из БИКов подразделений банка – отправителя;
Превышение лимита платежей на счет получателя	Критерий срабатывает, если за анализируемый период количество платежей со счета клиента на счет получателя превышает указанное в настройках критерия значение 
Присутствие получателя в общем белом списке	Критерий срабатывает, если получатель платежа (счет/номер карты+БИК+ИНН) присутствует в справочнике «Белый список получателей»;
Присутствие получателя в клиентском белом списке	Критерий срабатывает, если получатель платежа (счет/номер карты+БИК+ИНН) присутствует в справочнике «Справочник плательщиков» на вкладке «Белый список получателей»;
Платеж на карту	Критерий срабатывает, если в качестве получателя платежа указан номер карты (числовая последовательность из 19/18/16/13 цифр)
Платеж на указанные маски счета	Критерий срабатывает, если счет получателя платежа соответствует одной из масок, перечисленных в настройках критерия;
Сумма платежа меньше установленного лимита	Критерий срабатывает, если в поле «Сумма платежа» значение суммы меньше указанного в настройках критерия значения;
Сумма платежа больше установленного лимита	Критерий срабатывает, если в поле «Сумма платежа» значение суммы больше указанного в настройках критерия значения;
Платеж на нового получателя (банк)	Критерий срабатывает, если ранее за всю историю загруженных в Систему платежей по Банку ни один из клиентов банка не отправлял платежей в пользу найденного счета получателя/номера карты, а сейчас такой платеж поступил;
Платеж на нового получателя (все счета клиента)	Критерий срабатывает, если за анализируемый период ни с одного из счетов  клиента платежей в пользу найденного счета получателя или номера карты не было, а сейчас такой платеж поступил;
Появление платежа в пользу юридического лица	Критерий срабатывает при первом появлении платежа с данного счета плательщика в пользу любого юридического лица за анализируемый период.
Платеж на счет юридического лица	Критерий срабатывает, если получателем платежа является юридическое лицо;
Платеж на депозитный счет	Критерий срабатывает, если счетом получателя является депозитный счет физического лица;
Платеж в другой регион	Критерий срабатывает, если 1-4 разряды слева БИК банка отправителя ? (не равно) 1-4 разряды слева БИК банка получателя.
Количество платежей со счетов разных плательщиков - клиентов банка в пользу данного получателя больше лимита	Критерий срабатывает, если в пользу указанного в платежном документе получателя платежа (счет/номер карты+БИК) за анализируемый период отправлено платежей от уникальных отправителей больше (строго больше), чем указано в настройках критерия.
Присутствие получателя в справочнике террористов	Критерий срабатывает, если ФИО из справочника террористов, указываемое в поле NAMEU, найдено в поле "Наименование получателя"
Присутствие отправителя в справочнике террористов	Критерий срабатывает, если ФИО из справочника террористов, указываемое в поле NAMEU, найдено в поле "Наименование отправителя"
В назначении платежа найдено имя из справочника террористов	Критерий срабатывает, если ФИО из справочника террористов, указываемое в поле NAMEU, найдено в поле "Назначение платежа"
Превышение лимита платежей на счет получателя (банк)	Критерий срабатывает, если в пользу указанного в платежном документе получателя платежа (счет/номер карты+БИК) за анализируемый период отправлено платежей больше (строго больше), чем указано в настройках критерия.
Появление платежа на счет получателя с суммой выше средней (банк)	Критерий срабатывает при поступлении платежа с суммой, превышающей среднюю сумму за анализируемый период времени с учетом допустимого отклонения.
Появление платежа в пользу нового получателя услуги	Критерий срабатывает, если при оплате услуги в дополнительных параметрах документа содержится информация о получателе, на которого платежи ранее не отправлялись


ID	Name	Description	Weight
1	Проверка RSA	NULL	0.5
2	Присутствие IP-адреса в черном списке	NULL	0.5
3	Появление платежа в пользу нового получателя	NULL	0.5
4	Присутствие получателя в черном списке	NULL	1
5	Присутствие банка получателя в черном списке	NULL	0.8
6	Подозрительные фразы в назначении платежа	NULL	0.5
7	Нарушение сквозной нумерации платежей организации	NULL	0.2
8	Смена IP-адресов	NULL	0.2
9	Смена диапазона IP-адресов	NULL	0.2
10	Смена оборудования	NULL	0.2
11	Смена пароля	NULL	0.2
12	Появление платежа на счет получателя с суммой выше предельной	NULL	0.2
13	Появление ошибочных платежей	NULL	0.5
14	Снижение предельного остатка на счете	NULL	0.2
15	Смена типового времени получения платежа	NULL	0.2
16	Подверженность клиента мошенническим атакам	NULL	0.5
17	Несколько неудачных попыток ввода пароля при входе в систему	NULL	0.2
18	Превышение суточного количества платежей за период	NULL	0.2
19	Подозрительные ФИО получателя	NULL	0.5
20	Появление платежа на счет получателя с суммой выше средней	NULL	0.2
21	Получатель платежа присутствует в белом списке	NULL	0
22	Появление платежа в пользу нового получателя услуги	NULL	0.5
23	Отправка платежа из другой страны	NULL	0.25
24	Быстрая смена региона отправки платежа	NULL	0.75
25	Появление платежа на новую карту физического лица	NULL	0.5
26	Присутствие ФИО получателя в базе утерянных паспортов	NULL	0.8
27	Присутствие ФИО руководителя компании в базе утерянных паспортов	NULL	0.8
28	Превышение допустимого количества решений арбитражного суда	NULL	0.2
29	Превышение допустимого количества компаний, зарегистрированных по указанному адресу	NULL	0.2
30	Учредитель компании получателя платежа является «массовым» учредителем	NULL	0.5
31	Частая смена руководителя компании получателя платежа	NULL	0.2
32	Компания получатель платежа является новой	NULL	0.2
33	Компания получатель платежа является банкротом	NULL	0.8
34	Финансовое состояние компании получателя платежа является нестабильным	NULL	0.2
35	Сумма платежа меньше пороговой	NULL	0
36	Проверка RSA	NULL	0.5
37	Присутствие IP-адреса в черном списке	NULL	0.5
38	Присутствие MAC-адресa в черном списке	NULL	0.5
39	Появление платежа в пользу нового получателя	NULL	0.2
40	Присутствие получателя в черном списке	NULL	0.8
41	Присутствие банка получателя в черном списке	NULL	0.2
42	Подозрительные фразы в назначении платежа	NULL	0.5
43	Нарушение сквозной нумерации платежей организации		0.2
44	Смена IP-адресов	NULL	0.2
45	Смена диапазона IP-адресов	NULL	0.2
46	Смена оборудования	NULL	0.2
47	Появление платежа на карточный счет/счет физического лица		0.3
48	Появление платежа на новый карточный счет/счет физического лица		0.3
49	Появление платежа на сводный счет/счет заработной платы		0.3
50	Смена пароля	NULL	0.2
51	Появление платежа на счет получателя с суммой выше предельной	NULL	0.2
52	Появление платежа на карточный счет/счет физического лица с суммой выше предельной		0.2
53	Появление ошибочных платежей	NULL	0.5
54	Снижение предельного остатка на счете	NULL	0.2
55	Появление запросов выписки	NULL	0.2
56	Смена типового времени получения платежа	NULL	0.2
57	Подверженность клиента мошенническим атакам	NULL	1
58	Несколько неудачных попыток ввода пароля при входе в систему	NULL	0.2
59	Появление платежа на сводный счет/счет заработной платы с суммой выше предельной		0.2
60	Превышение суточной суммы платежей за период	NULL	0.2
61	Превышение суточного количества платежей за период	NULL	0.2
62	Подозрительные ФИО получателя	NULL	0.5
63	Появление платежа на счет получателя с суммой выше средней	NULL	0.2
64	Появление платежа на счет физического лица, обслуживающегося в другом банке		0.2
65	Превышение лимита платежей со счетов разных плательщиков - клиентов банка в пользу одного физического лица	NULL	0.8
66	Превышение лимита зарплатных платежей со счетов разных плательщиков - клиентов банка в пользу одного физического лица	NULL	0.8
67	Появление зарплатного платежа в пользу нового получателя	NULL	0.2
68	Превышение лимита зарплатных платежей на карточный счет/счет физического лица	NULL	0.2
69	Отправка срочного платежа	NULL	0.2
70	Превышение лимита платежей на карточный счет/счет физического лица	NULL	0.2
71	Появление платежа на депозитный счет физического лица	NULL	0.2
72	Слишком малое время между формированием платежа и его отправкой	NULL	0.8
73	Отправка платежа с незащищенного рабочего места	NULL	0.2
74	Отправка платежа клиентом с низким уровнем защиты	NULL	0.2
75	Появление платежа с уже имеющимся номером		0.2
76	Превышение лимита платежей со счетов разных плательщиков - клиентов банка в пользу одного юридического лица		0.8
77	Получатель платежа присутствует в белом списке	NULL	0
78	Отправка платежа из другой страны		0.8
79	Быстрая смена региона отправки платежа		0.8
80	Появление платежа на новую карту физического лица		0.2
81	Присутствие ФИО получателя в базе утерянных паспортов	NULL	0.8
82	Присутствие ФИО руководителя компании в базе утерянных паспортов	NULL	0.8
83	Превышение допустимого количества решений арбитражного суда	NULL	0.2
84	Превышение допустимого количества компаний, зарегистрированных по указанному адресу	NULL	0.2
85	Учредитель компании получателя платежа является «массовым» учредителем	NULL	0.5
86	Частая смена руководителя компании получателя платежа	NULL	0.2
87	Компания получатель платежа является новой	NULL	0.2
88	Компания получатель платежа является банкротом	NULL	0.8
89	Финансовое состояние компании получателя платежа является нестабильным	NULL	0.2
90	Сумма платежа меньше пороговой	NULL	0
91	Платеж в пользу нового получателя-физического лица, обслуживающегося в другом банке	Правило срабатывает при отправке клиентом банка платежа в пользу нового получателя физического лица из другого банка, на которого ранее за анализируемый период ни с одного из счетов клиента платежей не было.	0.3
92	Платеж в пользу нового получателя-физического лица, обслуживающегося в другом банке	Правило срабатывает при отправке клиентом банка платежа в пользу нового получателя физического лица из другого банка, на которого ранее за анализируемый период ни с одного из счетов клиента платежей не было.	0.3
93	Превышен лимит суммы платежа в банк из черного списка	Правило срабатывает при появлении платежа, сумма которого превышает заданный лимит, а банк получателя платежа содержится в справочнике «Черный список банков».	0.3
94	Превышен лимит суммы платежа в банк из черного списка	Правило срабатывает при появлении платежа, сумма которого превышает заданный лимит, а банк получателя платежа содержится в справочнике «Черный список банков».	0.3
95	В платеже найдены данные из справочника террористов	Правило срабатывает, если имя из справочника террористов, указываемое в поле NAMEU, найдено хотя бы в одном из полей платежного документа: "Наименование отправителя", "Наименование получателя" или "Назначение платежа"	0.7
96	В платеже найдены данные из справочника террористов	Правило срабатывает, если имя из справочника террористов, указываемое в поле NAMEU, найдено хотя бы в одном из полей платежного документа: "Наименование отправителя", "Наименование получателя" или "Назначение платежа"	0.7
97	Превышение лимита платежей на счет получателя (банк)	NULL	0.2
98	Превышение лимита платежей на счет получателя (банк)	NULL	0.2




<?xml version="1.0" encoding="UTF-8"?><REC><F K="MINDELAY" T="3">2</F></REC> вот настройка   - время и отправка 2 минуты
